,title,rank_in_sale,suggested_price(€)
340,HOT WHEELS UNLEASHED™ - Collectors Edition,341,64.3383
341,HOT WHEELS UNLEASHED™ - Collectors Edition,342,64.3383
342,XCOM® 2: War of the Chosen,343,40.9383
343,One Piece Pirate Warriors 3,344,18.708299999999998
344,Destiny 2: Forsaken Pack,345,19.878299999999996
345,Horizon Chase Turbo,346,18.708299999999998
346,Solar Ash,347,38.5983
347,The Jackbox Party Pack 8,348,29.238299999999995
348,The Pathless PS4 & PS5,349,35.0883
349,Necromunda: Hired Gun,350,38.5983
350,Middle-earth™: The Shadow Bundle,351,70.1883
351,XCOM® 2 Digital Deluxe Edition,352,61.9983
352,Twelve Minutes,353,23.388299999999997
353,The Evil Within Season Pass,354,9.3483
354,Remnant: From the Ashes,355,38.5983
355,Cat Quest II,356,14.0283
356,Who Wants to Be a Millionaire?,357,40.9383
357,Persona® 5 Strikers Digital Deluxe Edition,358,76.03829999999999
358,Spirit of the North: Enhanced Edition,359,23.388299999999997
359,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst,360,18.708299999999998
360,One Piece: Unlimited World Red - Deluxe Edition,361,38.5983
361,CODE VEIN Season Pass,362,23.388299999999997
362,Monster Energy Supercross - The Official Videogame 5 PS4 & PS5,363,70.1883
363,Carnival Games®,364,40.9383
364,Nioh – Complete Edition,365,40.9383
365,NARUTO: Ultimate Ninja STORM,366,18.708299999999998
366,DEAD OR ALIVE 6,367,64.3383
367,Dead by Daylight: Ghost Face® PS4™ & PS5™,368,4.6683
368,FOR HONOR Marching Fire Edition,369,46.7883
369,Dead by Daylight: The Halloween® Chapter PS4™ & PS5™,370,7.5933
370,PGA TOUR 2K21 Baller Edition,371,76.03829999999999
371,Deus Ex: Mankind Divided - Digital Deluxe Edition,372,40.9383
372,Nexomon: Extinction,373,18.708299999999998
373,The Warriors,374,14.0283
374,Hunting Simulator 2 Elite Edition,375,77.2083
375,Hunting Simulator 2 Elite Edition,376,77.2083
