title,age,price,image_src,age_group
Backpack - Monkey,3+,"€44,99",https://www.lego.com/cdn/cs/set/assets/blt3b4833dfead2786d/5006495.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Medium Azur Small Brick Backpack,3+,"€49,99",https://www.lego.com/cdn/cs/set/assets/bltd81cd0160061de55/5006489.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Crossbody Handbag - Retro Logo,3+,"€49,99",https://www.lego.com/cdn/cs/set/assets/bltf364324284e619c3/5006491.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Fire Station & Helicopter,2+,"€99,99",https://www.lego.com/cdn/cs/set/assets/blt7a4fa14b7e5d9302/10970.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
LEGO® Storage Head – Mini (Silly),4+,"€9,99",https://www.lego.com/cdn/cs/set/assets/blt48b31e2862668d99/5006210.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Light Purple Small Brick Backpack,3+,"€49,99",https://www.lego.com/cdn/cs/set/assets/blt4e5163bbc2f639e9/5006497.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Lime Small Brick Backpack,3+,"€49,99",https://www.lego.com/cdn/cs/set/assets/bltd58c4711c38f90bb/5006496.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Spider-Man & Friends: Funfair Adventure,2+,"€59,99",https://www.lego.com/cdn/cs/set/assets/bltd85151e2fccf6ad3/10963.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Wild Animals of South America,2+,"€49,99",https://www.lego.com/cdn/cs/set/assets/blt41f9b66fcdd29138/10973.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Animal Train,1.5+,"€19,99",https://www.lego.com/cdn/cs/set/assets/blt7e3613bb0d6b9c34/10955_alt2.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Mack at the Race,2+,"€19,99",https://www.lego.com/cdn/cs/set/assets/blt40a52aac61a19d32/10417.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Elsa & Bruni in the Enchanted Forest,2+,"€32,99",https://www.lego.com/cdn/cs/set/assets/blt4a500e12dc4ce126/10418.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Frozen Ice Castle,2+,"€49,99",https://www.lego.com/cdn/cs/set/assets/bltc6c247b875263a5c/10899_alt.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Car Park and Car Wash,2+,"€99,99",https://www.lego.com/cdn/cs/set/assets/bltb78d6231391a1171/10948.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Bulldozer,2+,"€9,99",https://www.lego.com/cdn/cs/set/assets/bltc45ce0a409f60bb4/10930_alt2.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
LEGO® Medium Creative Brick Box,4,"€29,99",https://www.lego.com/cdn/cs/set/assets/blt70237dec0eef084a/10696.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
LEGO® Minifigures Marvel Series 2,5+,"€3,99",https://www.lego.com/cdn/cs/set/assets/bltd099cc8c436240fb/71039.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
LEGO® Large Creative Brick Box,4,"€49,99",https://www.lego.com/cdn/cs/set/assets/blt5c961fa3e9b716ec/10698.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Twirling Rapunzel,5+,"€9,99",https://www.lego.com/cdn/cs/set/assets/bltc2b77387d35da1f8/43214.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Spider-Man's Car and Doc Ock,4+,"€9,99",https://www.lego.com/cdn/cs/set/assets/blt007b9c75f4947d64/10789.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Green Baseplate,4+,"€8,99",https://www.lego.com/cdn/cs/set/assets/bltf2a3ea25d5fcb718/11023.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
White Baseplate,4+,"€8,99",https://www.lego.com/cdn/cs/set/assets/bltacddd1ff021e705f/11026.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Electric Sports Car,5+,"€9,99",https://www.lego.com/cdn/cs/set/assets/blt47043e3b9b21875b/60383.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Holiday Camper Van,5+,"€19,99",https://www.lego.com/cdn/cs/set/assets/blt02c69ce2e75edbf5/60283.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Fire Rescue Boat,5+,"€19,99",https://www.lego.com/cdn/cs/set/assets/blt0e2d022ae559c801/60373.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Construction Trucks and Wrecking Ball Crane,4+,"€49,99",https://www.lego.com/cdn/cs/set/assets/blteb85537a34017797/60391.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Recycling Truck,5+,"€34,99",https://www.lego.com/cdn/cs/set/assets/blt411eb263b30d2a10/60386.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Fire Station and Fire Engine,4+,"€34,99",https://www.lego.com/cdn/cs/set/assets/blt6c5b65659d92fc19/60375.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Creative Suitcase,4,"€19,99",https://www.lego.com/cdn/cs/set/assets/blt31025b7b4b54b9a7/10713.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Construction Digger,5+,"€19,99€13,99- 30%",https://www.lego.com/cdn/cs/set/assets/bltfc1e9b0285bb1918/60385.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Horse Training,4+,"€29,99",https://www.lego.com/cdn/cs/set/assets/blt46b79f7c1b58b59f/41746.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
T. rex Dinosaur Breakout,4+,"€49,99",https://www.lego.com/cdn/cs/set/assets/blt501a5bd28a171ce3/76944.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Iron Man Hulkbuster vs. Thanos,4+,"€26,99",https://www.lego.com/cdn/cs/set/assets/blt1d0477810acbbf17/76263.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Police Station Chase,4+,"€34,99",https://www.lego.com/cdn/cs/set/assets/blta86f232d3f5f26fb/60370.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
The Shark Attack Stunt Challenge,5+,"€19,99€11,99- 40%",https://www.lego.com/cdn/cs/set/assets/blt1e0e28cbe9b939a6/60342.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Kitty Fairy's Garden Party,4+,"€29,99",https://www.lego.com/cdn/cs/set/assets/bltd4011210529f2c09/10787.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Explorer Diving Boat,5+,"€29,99",https://www.lego.com/cdn/cs/set/assets/blt3d9c71a84bf3e26e/60377.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Hulk vs. Rhino Truck Showdown,4+,"€19,99",https://www.lego.com/cdn/cs/set/assets/blt7aac15b15bf0927c/10782.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Blue Baseplate,4+,"€8,99",https://www.lego.com/cdn/cs/set/assets/bltb009e4aed70a87b7/11025.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Batmobile™ Pursuit: Batman™ vs. The Joker™,4+,"€26,99",https://www.lego.com/cdn/cs/set/assets/blt51f2e99ded965f47/76264.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Arctic Explorer Snowmobile,5+,"€9,99",https://www.lego.com/cdn/cs/set/assets/blt440853dbfa44ec8e/60376.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Police Car,5+,"€9,99",https://www.lego.com/cdn/cs/set/assets/bltc561fbe2f3cb7614/60312.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Ice-Cream Truck,5+,"€19,99",https://www.lego.com/cdn/cs/set/assets/blt136fb371e68cccbd/60253.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Tractor,5+,"€19,99",https://www.lego.com/cdn/cs/set/assets/blt8869ab93cdddba2a/60287.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Disney Celebration Train​,4+,"€39,99",https://www.lego.com/cdn/cs/set/assets/blta803595ea81309e0/43212.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Police Bike Car Chase,5+,"€9,99",https://www.lego.com/cdn/cs/set/assets/blt8fef1a0ac3774f36/60392.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
LEGO® City Advent Calendar 2023,5+,"€26,99€21,59- 20%",https://www.lego.com/cdn/cs/set/assets/blt70809e617829595a/60381.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Aurora's Castle,4+,"€44,99",https://www.lego.com/cdn/cs/set/assets/blt9436f62912cb092b/43211.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Doughnut Shop,4+,"€9,99",https://www.lego.com/cdn/cs/set/assets/blt8b97459d88b0bc01/41723.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Mobile Police Dog Training,5+,"€19,99",https://www.lego.com/cdn/cs/set/assets/blt78935c3f9677145f/60369.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Gabby & MerCat's Ship & Spa,4+,"€20,99",https://www.lego.com/cdn/cs/set/assets/bltbeba66cbde298e1b/10786.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Team Spidey at Green Goblin's Lighthouse,4+,"€34,99",https://www.lego.com/cdn/cs/set/assets/bltf30c124dd6fada18/10790.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Creative Monsters,4+,"€9,99",https://www.lego.com/cdn/cs/set/assets/blt0456dc5adf56f8e2/11017.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Bakey with Cakey Fun,4+,"€9,99",https://www.lego.com/cdn/cs/set/assets/blte20079291cfdca26/10785.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Batman™ versus Harley Quinn™,4+,"€14,99",https://www.lego.com/cdn/cs/set/assets/blt9de6389ba9a98b99/76220.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Ice Cream Truck Police Chase,5+,"€29,99",https://www.lego.com/cdn/cs/set/assets/blt3e962866d2b0b82d/60314.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Jasmine and Mulan’s Adventure,5+,"€44,99€31,49- 30%",https://www.lego.com/cdn/cs/set/assets/blt0d81f5059232ef86/43208_.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
3in1 Magical Castle,3+,"€99,99",https://www.lego.com/cdn/cs/set/assets/blt91803d075e193ca8/10998.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Cement Mixer Truck,4+,"€19,99",https://www.lego.com/cdn/cs/set/assets/blt6c354c66c62864ac/60325.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Cargo Train,2,"€129,99",https://www.lego.com/cdn/cs/set/assets/blte6cc64051096b594/10875.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Road Plates,5+,"€19,99",https://www.lego.com/cdn/cs/set/assets/blt46e248e8f0fcec94/60304.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
The Little Mermaid Story Book,5+,"€19,99",https://www.lego.com/cdn/cs/set/assets/blt09c5a61f5ce3e4d2/43213.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Gray Baseplate,4+,"€14,99",https://www.lego.com/cdn/cs/set/assets/blt3baed37200b0845a/11024.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Space Mission,5+,"€79,99",https://www.lego.com/cdn/cs/set/assets/blta4d62ca8c0a5fb01/11022.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Velociraptor Escape,4+,"€37,99",https://www.lego.com/cdn/cs/set/assets/bltfcbb177fe2af2c27/76957.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Brick Separator,4+,"€2,49",https://www.lego.com/cdn/cs/set/assets/bltbb5c4283a6ff931a/630.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
3in1 Family House,3+,"€139,99",https://www.lego.com/cdn/cs/set/assets/bltcf410a5007513116/10994.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Steam Train,2,"€64,99",https://www.lego.com/cdn/cs/set/assets/blt892b06b079302476/10874.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Cinderella and Prince Charming's Castle,5+,"€84,99",https://www.lego.com/cdn/cs/set/assets/blt9c35f3877aef883d/43206.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Pony-Washing Stable,4+,"€9,99",https://www.lego.com/cdn/cs/set/assets/bltb1da2a25b9653360/41696.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Creative Ninja Brick Box,5+,"€59,99",https://www.lego.com/cdn/cs/set/assets/blt83f787c677684dd1/71787.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Bear Stunt Bike,5+,"€7,99",https://www.lego.com/cdn/cs/set/assets/blt9bb6d191870bc8f6/60356.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Gabby's Dollhouse,4+,"€79,99",https://www.lego.com/cdn/cs/set/assets/bltd72eccb2d4ece270/10788.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
3in1 Tree House,3+,"€89,99",https://www.lego.com/cdn/cs/set/assets/bltaaa285deafaadfb0/10993.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Creative Party Box,5+,"€49,99",https://www.lego.com/cdn/cs/set/assets/blt5d6dfffc73dab2c1/11029.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Bathtub Stunt Bike,5+,"€7,99",https://www.lego.com/cdn/cs/set/assets/bltc542406e5730bbc8/60333.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Miles Morales: Spider-Man’s Techno Trike,4+,"€9,99",https://www.lego.com/cdn/cs/set/assets/blt95be96c39e3d24fc/10781.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Holiday Camping Trip,4+,"€24,99",https://www.lego.com/cdn/cs/set/assets/bltb736cb7d43328fa9/41726.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Shuri's Lab,4+,"€9,99",https://www.lego.com/cdn/cs/set/assets/blt0f7eaeb0120d2868/76212.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Nya and Arin's Baby Dragon Battle,4+,"€31,99",https://www.lego.com/cdn/cs/set/assets/bltcda44a5e4e6bc33a/71798.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
Anna’s Castle Courtyard,5+,"€9,99",https://www.lego.com/cdn/cs/set/assets/blte9b244ecd906a514/43198_.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
