,image_src,title,category,colection,suggested_price(€)
108,https://www.tradeinn.com/h/13946/139469747/aquasphere-vista-junior-lenses-clear-goggles.jpg,aquasphere vista junior lenses clear goggles,equipment,accesories,19.99
109,https://www.tradeinn.com/h/13870/138704332/aquasphere-ninja-swimming-goggles.jpg,aquasphere ninja swimming goggles,equipment,accesories,43.49
110,https://www.tradeinn.com/h/13686/136860766/buddyswim-live-love-swim-silicone-swimming-cap.jpg,buddyswim live love swim silicone swimming cap,equipment,accesories,11.99
111,https://www.tradeinn.com/h/14007/140079342/speedo-fastskin-hiro-swimming-cap.jpg,speedo fastskin hiro swimming cap,equipment,accesories,33.99
112,https://www.tradeinn.com/h/13664/136640459/speedo-futura-biofuse-flexiseal-swimming-goggles-woman.jpg,speedo futura biofuse flexiseal swimming goggles woman,equipment,accesories,19.99
113,https://www.tradeinn.com/h/13743/137435637/speedo-hydropulse-swimming-goggles.jpg,speedo hydropulse swimming goggles,equipment,accesories,15.99
114,https://www.tradeinn.com/h/4/49032/arena-classic-junior-swimming-cap.jpg,arena classic junior swimming cap,equipment,accesories,4.99
115,https://www.tradeinn.com/h/13689/136892745/arena-the-one-swimming-goggles.jpg,arena the one swimming goggles,equipment,accesories,15.99
116,https://www.tradeinn.com/h/13741/137410162/arena-tracks-mirror-swimming-goggles.jpg,arena tracks mirror swimming goggles,equipment,accesories,18.49
117,https://www.tradeinn.com/h/13982/139825544/tyr-tie-dye-junior-swimming-cap.jpg,tyr tie dye junior swimming cap,equipment,accesories,20.49
118,https://www.tradeinn.com/h/13810/138106772/tyr-tracer-x-elite-race-mirror-swimming-goggles.jpg,tyr tracer x elite race mirror swimming goggles,equipment,accesories,44.99
119,https://www.tradeinn.com/h/14009/140095198/aquasphere-mako2-swimming-goggles.jpg,aquasphere mako2 swimming goggles,equipment,accesories,14.49
120,https://www.tradeinn.com/h/13870/138704290/aquasphere-kayenne-pro-swimming-goggles.jpg,aquasphere kayenne pro swimming goggles,equipment,accesories,26.99
121,https://www.tradeinn.com/h/13870/138704307/aquasphere-kayenne-swimming-goggles.jpg,aquasphere kayenne swimming goggles,equipment,accesories,27.99
122,https://www.tradeinn.com/h/13946/139469748/aquasphere-vista-junior-lenses-clear-goggles.jpg,aquasphere vista junior lenses clear goggles,equipment,accesories,19.99
123,https://www.tradeinn.com/h/13794/137941282/aquasphere-kayenne-swimming-goggles.jpg,aquasphere kayenne swimming goggles,equipment,accesories,28.99
124,https://www.tradeinn.com/h/13829/138297588/seac-kleo-swimming-goggles.jpg,seac kleo swimming goggles,equipment,accesories,4.99
125,https://www.tradeinn.com/h/13667/136679185/seac-silicone-junior-swimming-cap.jpg,seac silicone junior swimming cap,equipment,accesories,3.0
126,https://www.tradeinn.com/h/12/127531/seac-kleo-swimming-goggles.jpg,seac kleo swimming goggles,equipment,accesories,4.99
127,https://www.tradeinn.com/h/13756/137568219/softee-polyester-swimming-cap.jpg,softee polyester swimming cap,equipment,accesories,0.99
128,https://www.tradeinn.com/h/13756/137568190/softee-silicone-swimming-cap.jpg,softee silicone swimming cap,equipment,accesories,1.99
129,https://www.tradeinn.com/h/13734/137340874/malmsten-swedish-jewel-swimming-goggles.jpg,malmsten swedish jewel swimming goggles,equipment,accesories,21.99
130,https://www.tradeinn.com/h/13747/137478381/phelps-ninja-swimming-goggles.jpg,phelps ninja swimming goggles,equipment,accesories,30.99
131,https://www.tradeinn.com/h/13743/137435643/speedo-hydropulse-mirror-swimming-goggles.jpg,speedo hydropulse mirror swimming goggles,equipment,accesories,13.99
132,https://www.tradeinn.com/h/13664/136640320/speedo-jet-swimming-goggles-junior.jpg,speedo jet swimming goggles junior,equipment,accesories,7.99
133,https://www.tradeinn.com/h/13959/139594492/speedo-skoogle-infant-swimming-goggles.jpg,speedo skoogle infant swimming goggles,equipment,accesories,11.49
134,https://www.tradeinn.com/h/13847/138473000/speedo-aquapulse-pro-mirror-swimming-goggles.jpg,speedo aquapulse pro mirror swimming goggles,equipment,accesories,28.99
135,https://www.tradeinn.com/h/13959/139595300/speedo-aquapure-optical-swimming-goggles.jpg,speedo aquapure optical swimming goggles,equipment,accesories,32.49
136,https://www.tradeinn.com/h/14007/140079341/speedo-fastskin-hiro-swimming-cap.jpg,speedo fastskin hiro swimming cap,equipment,accesories,33.99
137,https://www.tradeinn.com/h/13959/139594451/speedo-illusion-infant-swimming-goggles.jpg,speedo illusion infant swimming goggles,equipment,accesories,13.99
138,https://www.tradeinn.com/h/13722/137223889/speedo-plain-flat-silicone-swimming-cap.jpg,speedo plain flat silicone swimming cap,equipment,accesories,6.99
139,https://www.tradeinn.com/h/13732/137329393/arena-airspeed-swimming-goggles.jpg,arena airspeed swimming goggles,equipment,accesories,21.99
140,https://www.tradeinn.com/h/13793/137938524/arena-smart-swimming-cap.jpg,arena smart swimming cap,equipment,accesories,14.99
141,https://www.tradeinn.com/h/13726/137263469/arena-cruiser-evo-swimming-goggles.jpg,arena cruiser evo swimming goggles,equipment,accesories,12.99
142,https://www.tradeinn.com/h/13724/137249943/arena-unix-ii-swimming-cap.jpg,arena unix ii swimming cap,equipment,accesories,7.49
143,https://www.tradeinn.com/h/5/57234/arena-zoom-x-fit-swimming-goggles.jpg,arena zoom x-fit swimming goggles,equipment,accesories,9.99
144,https://www.tradeinn.com/h/13733/137332341/arena-cobra-ultra-swipe-mirror-swimming-goggles.jpg,arena cobra ultra swipe mirror swimming goggles,equipment,accesories,54.99
145,https://www.tradeinn.com/h/13744/137448299/zone3-attack-swimming-goggles.jpg,zone3 attack swimming goggles,equipment,accesories,23.49
146,https://www.tradeinn.com/h/13598/135981179/zone3-vapour-revo-swimming-goggles.jpg,zone3 vapour revo swimming goggles,equipment,accesories,35.99
147,https://www.tradeinn.com/h/13871/138712467/tyr-nest-pro-swimming-goggles.jpg,tyr nest pro swimming goggles,equipment,accesories,14.99
148,https://www.tradeinn.com/h/13889/138899505/tyr-aqua-blaze-swimming-goggles.jpg,tyr aqua blaze swimming goggles,equipment,accesories,4.99
