,title,age,suggested_price(€),image_src,age_group
87,Construction Trucks and Wrecking Ball Crane,4.0,49.99,https://www.lego.com/cdn/cs/set/assets/blteb85537a34017797/60391.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
88,Recycling Truck,5.0,34.99,https://www.lego.com/cdn/cs/set/assets/blt411eb263b30d2a10/60386.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
89,Fire Station and Fire Engine,4.0,34.99,https://www.lego.com/cdn/cs/set/assets/blt6c5b65659d92fc19/60375.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
90,Creative Suitcase,4.0,19.99,https://www.lego.com/cdn/cs/set/assets/blt31025b7b4b54b9a7/10713.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
91,Construction Digger,5.0,,https://www.lego.com/cdn/cs/set/assets/bltfc1e9b0285bb1918/60385.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
92,Horse Training,4.0,29.99,https://www.lego.com/cdn/cs/set/assets/blt46b79f7c1b58b59f/41746.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
93,T. rex Dinosaur Breakout,4.0,49.99,https://www.lego.com/cdn/cs/set/assets/blt501a5bd28a171ce3/76944.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
94,Iron Man Hulkbuster vs. Thanos,4.0,26.99,https://www.lego.com/cdn/cs/set/assets/blt1d0477810acbbf17/76263.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
95,Police Station Chase,4.0,34.99,https://www.lego.com/cdn/cs/set/assets/blta86f232d3f5f26fb/60370.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
96,The Shark Attack Stunt Challenge,5.0,,https://www.lego.com/cdn/cs/set/assets/blt1e0e28cbe9b939a6/60342.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
97,Kitty Fairy's Garden Party,4.0,29.99,https://www.lego.com/cdn/cs/set/assets/bltd4011210529f2c09/10787.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
98,Explorer Diving Boat,5.0,29.99,https://www.lego.com/cdn/cs/set/assets/blt3d9c71a84bf3e26e/60377.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
99,Hulk vs. Rhino Truck Showdown,4.0,19.99,https://www.lego.com/cdn/cs/set/assets/blt7aac15b15bf0927c/10782.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
100,Blue Baseplate,4.0,8.99,https://www.lego.com/cdn/cs/set/assets/bltb009e4aed70a87b7/11025.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
101,Batmobile™ Pursuit: Batman™ vs. The Joker™,4.0,26.99,https://www.lego.com/cdn/cs/set/assets/blt51f2e99ded965f47/76264.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
102,Arctic Explorer Snowmobile,5.0,9.99,https://www.lego.com/cdn/cs/set/assets/blt440853dbfa44ec8e/60376.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
103,Police Car,5.0,9.99,https://www.lego.com/cdn/cs/set/assets/bltc561fbe2f3cb7614/60312.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
104,Ice-Cream Truck,5.0,19.99,https://www.lego.com/cdn/cs/set/assets/blt136fb371e68cccbd/60253.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
105,Tractor,5.0,19.99,https://www.lego.com/cdn/cs/set/assets/blt8869ab93cdddba2a/60287.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
106,Disney Celebration Train​,4.0,39.99,https://www.lego.com/cdn/cs/set/assets/blta803595ea81309e0/43212.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
107,Police Bike Car Chase,5.0,9.99,https://www.lego.com/cdn/cs/set/assets/blt8fef1a0ac3774f36/60392.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
108,LEGO® City Advent Calendar 2023,5.0,,https://www.lego.com/cdn/cs/set/assets/blt70809e617829595a/60381.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
109,Aurora's Castle,4.0,44.99,https://www.lego.com/cdn/cs/set/assets/blt9436f62912cb092b/43211.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
110,Doughnut Shop,4.0,9.99,https://www.lego.com/cdn/cs/set/assets/blt8b97459d88b0bc01/41723.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
111,Mobile Police Dog Training,5.0,19.99,https://www.lego.com/cdn/cs/set/assets/blt78935c3f9677145f/60369.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
112,Gabby & MerCat's Ship & Spa,4.0,20.99,https://www.lego.com/cdn/cs/set/assets/bltbeba66cbde298e1b/10786.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
113,Team Spidey at Green Goblin's Lighthouse,4.0,34.99,https://www.lego.com/cdn/cs/set/assets/bltf30c124dd6fada18/10790.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
114,Creative Monsters,4.0,9.99,https://www.lego.com/cdn/cs/set/assets/blt0456dc5adf56f8e2/11017.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
