,category,Image,Title,author,Price
376,Politics,https://blackwells.co.uk//jacket/200x200/9780190244408.jpg,Civil Resistance,Erica Chenoweth,16.8
377,Politics,https://blackwells.co.uk//jacket/200x200/9780714685007.jpg,NATO's Secret Armies : Operatio...,"Ganser, Daniele",34.2
378,Politics,https://blackwells.co.uk//jacket/200x200/9781138794306.jpg,Geographies of Development,"Robert B. Potter, To...",58.29
379,Politics,https://blackwells.co.uk//jacket/200x200/9781800817609.jpg,How the Tricolor Got Its Stripes,Dmytro Dubilet,21.82
380,Politics,https://blackwells.co.uk//jacket/200x200/9781784784447.jpg,Scorched Earth,Jonathan Crary,15.15
381,Politics,https://blackwells.co.uk//jacket/200x200/9781529918182.jpg,The Art of Peace,David Khalili,25.82
382,Politics,https://blackwells.co.uk//jacket/200x200/9781526607423.jpg,The New Silk Roads,Peter Frankopan,21.26
383,Politics,https://blackwells.co.uk//jacket/200x200/9781846140877.jpg,Unlocking the World,John Darwin,15.15
384,Politics,https://blackwells.co.uk//jacket/200x200/9780063230477.jpg,The End of the World Is Just th...,Peter Zeihan,23.23
385,Politics,https://blackwells.co.uk//jacket/200x200/9780197680629.jpg,The Myth of Left and Right,"Hyrum S. Lewis, Verl...",25.25
386,Politics,https://blackwells.co.uk//jacket/200x200/9781474937030.jpg,First Sticker Book Flags,Holly Bathie (author...,12.17
387,Politics,https://blackwells.co.uk//jacket/200x200/9781805260080.jpg,Gambling on Development,Stefan Dercon,18.85
388,Politics,https://blackwells.co.uk//jacket/200x200/9781684037704.jpg,Disarming the Narcissist,Wendy T. Behary,17.01
389,Politics,https://blackwells.co.uk//jacket/200x200/9781529908664.jpg,Decolonising My Body,Afua Hirsch,22.5
390,Science,https://blackwells.co.uk//jacket/200x200/9781914317880.jpg,Cats Who Changed the World,Dan Jones,18.02
391,Science,https://blackwells.co.uk//jacket/200x200/9781398508729.jpg,It's Not Just You,Tori Tsui,17.43
392,Science,https://blackwells.co.uk//jacket/200x200/9780199584970.jpg,Nuclear Power,J. M. Irvine,13.45
393,Science,https://blackwells.co.uk//jacket/200x200/9780691166278.jpg,Quantitative Risk Management,"Alexander J. McNeil,...",96.39
394,Science,https://blackwells.co.uk//jacket/200x200/9781856754637.jpg,The Almanac,Lia Leendertz,15.68
395,Science,https://blackwells.co.uk//jacket/200x200/9781529388626.jpg,Earthshot,"Colin Butfield, Jonn...",21.03
396,Science,https://blackwells.co.uk//jacket/200x200/9780241600498.jpg,The Complete Human Body,Alice Roberts,32.78
397,Science,https://blackwells.co.uk//jacket/200x200/9781607743880.jpg,The New World Champion Paper Ai...,John M. Collins,20.44
398,Science,https://blackwells.co.uk//jacket/200x200/9781631498541.jpg,The Warped Side of Our Universe,Kip S. Thorne (autho...,45.29
399,Science,https://blackwells.co.uk//jacket/200x200/9781788709194.jpg,A Housefly Buzzes in the Key of F,Simon Nicholls,18.1
400,Science,https://blackwells.co.uk//jacket/200x200/9781912235575.jpg,Ghost Trees,Bob Gilbert,15.41
401,Science,https://blackwells.co.uk//jacket/200x200/9780141995311.jpg,140 Artists' Ideas for Planet E...,Hans Ulrich Obrist (...,14.04
402,Science,https://blackwells.co.uk//jacket/200x200/9780316453356.jpg,Drunk,Edward Slingerland,17.01
403,Science,https://blackwells.co.uk//jacket/200x200/9781911648611.jpg,Banzeiro Okoto,Eliane Brum (author)...,18.02
404,Science,https://blackwells.co.uk//jacket/200x200/9780231177870.jpg,The Madhouse Effect,"Michael E. Mann, Tom...",20.02
405,Science,https://blackwells.co.uk//jacket/200x200/9781399613323.jpg,The Simple Life,Sarah Beeny,20.67
406,Science,https://blackwells.co.uk//jacket/200x200/9780198833024.jpg,Molecular Biology of Cancer,Lauren Pecorino,53.2
407,Science,https://blackwells.co.uk//jacket/200x200/9780715654866.jpg,Vet at the End of the Earth,Jonathan Hollins,20.31
408,Science,https://blackwells.co.uk//jacket/200x200/9781523504725.jpg,Dinosaur,"Dan Kainen, Kathy Wo...",22.45
409,Science,https://blackwells.co.uk//jacket/200x200/9781789080261.jpg,A-Level Biology,Daniel Fielding (edi...,26.85
410,Sports,https://blackwells.co.uk//jacket/200x200/9781782217862.jpg,How to Make Cloth Dolls,Jan Horrox,17.9
411,Sports,https://blackwells.co.uk//jacket/200x200/9781570768613.jpg,Kinesiology Taping for Horses,Katja Bredlau-Morich,19.55
412,Sports,https://blackwells.co.uk//jacket/200x200/9781609000400.jpg,I Can't Believe I'm Loom Knitti...,Kathy Norris,16.35
413,Sports,https://blackwells.co.uk//jacket/200x200/9780719841996.jpg,Discovering Machine Knitting,Kandy Diamond,21.18
414,Sports,https://blackwells.co.uk//jacket/200x200/9780451470881.jpg,80/20 Running,Matt Fitzgerald,14.04
415,Sports,https://blackwells.co.uk//jacket/200x200/9781472838834.jpg,Gaslands Refuelled,Mike Hutchinson,21.62
416,Sports,https://blackwells.co.uk//jacket/200x200/9781802792225.jpg,Formula 1,Maurice Hamilton,28.12
417,Sports,https://blackwells.co.uk//jacket/200x200/9781999372842.jpg,Edinburgh the Walk,"Roddy McDougall, Eli...",21.16
418,Sports,https://blackwells.co.uk//jacket/200x200/9781607743880.jpg,The New World Champion Paper Ai...,John M. Collins,20.44
419,Sports,https://blackwells.co.uk//jacket/200x200/9780760382806.jpg,Made to Measure,Elisalex Jewell,24.3
420,Sports,https://blackwells.co.uk//jacket/200x200/9783967041033.jpg,Wanderlust British & Irish Isles,"gestalten (editor), ...",40.65
421,Sports,https://blackwells.co.uk//jacket/200x200/9781849947671.jpg,Sea Pools,Chris Romer-Lee,35.54
422,Sports,https://blackwells.co.uk//jacket/200x200/9781788403580.jpg,Coronation Street Puzzle Book,"ITV Ventures Ltd, Ab...",17.01
423,Sports,https://blackwells.co.uk//jacket/200x200/9781857446203.jpg,Play the Ponziani,"Dave Taylor, Keith H...",20.31
424,Sports,https://blackwells.co.uk//jacket/200x200/9781782438007.jpg,The Wellbeing Journal,MIND,12.25
425,Sports,https://blackwells.co.uk//jacket/200x200/9781439195284.jpg,Power Golf,Ben Hogan,17.23
426,Sports,https://blackwells.co.uk//jacket/200x200/9780141995311.jpg,140 Artists' Ideas for Planet E...,Hans Ulrich Obrist (...,14.04
427,Sports,https://blackwells.co.uk//jacket/200x200/9781350435292.jpg,Dear England,James Graham,16.34
428,Sports,https://blackwells.co.uk//jacket/200x200/9781787636897.jpg,Nowhere to Run,Jonathan Sayer,20.65
429,Sports,https://blackwells.co.uk//jacket/200x200/9781908714077.jpg,A Little Book of Craftivism,Sarah Corbett,11.61
430,Sports,https://blackwells.co.uk//jacket/200x200/9780995488656.jpg,The Rough-Stuff Fellowship,Mark Hudson (editor),34.29
431,Stage,https://blackwells.co.uk//jacket/200x200/9780367203542.jpg,Games for Actors and Non-Actors,"Boal, Augusto",42.98
432,Stage,https://blackwells.co.uk//jacket/200x200/9781032324142.jpg,Experiencing Accents,Philip Thompson (aut...,38.37
433,Stage,https://blackwells.co.uk//jacket/200x200/9780292776241.jpg,Sculpting in Time,Andrei Tarkovskii,33.92
434,Stage,https://blackwells.co.uk//jacket/200x200/9781641605243.jpg,A Long Time Ago in a Cutting Ro...,Paul Hirsch,22.92
435,Stage,https://blackwells.co.uk//jacket/200x200/9780702310423.jpg,The Subtle Knife,Philip Pullman (auth...,31.94
436,Stage,https://blackwells.co.uk//jacket/200x200/9781788709194.jpg,A Housefly Buzzes in the Key of F,Simon Nicholls,18.1
437,Stage,https://blackwells.co.uk//jacket/200x200/9783791387444.jpg,Cocktails of the Movies,"Will Francis, Stacey...",16.97
438,Stage,https://blackwells.co.uk//jacket/200x200/9781338767681.jpg,Five Nights at Freddy's Ultimat...,Scott Cawthon,15.34
439,Stage,https://blackwells.co.uk//jacket/200x200/9780702310430.jpg,The Amber Spyglass,Philip Pullman (auth...,33.45
440,Stage,https://blackwells.co.uk//jacket/200x200/9781350288379.jpg,Adventures Across Space and Time,"Paul Booth (editor),...",29.51
441,Stage,https://blackwells.co.uk//jacket/200x200/9781526603265.jpg,She Said,"Jodi Kantor, Megan T...",13.6
442,Stage,https://blackwells.co.uk//jacket/200x200/9780241405932.jpg,"Humour, Seriously","Jennifer Lynn Aaker,...",19.56
443,Stage,https://blackwells.co.uk//jacket/200x200/9781637742617.jpg,Tremendous,"Joey Coco Diaz, Eric...",24.69
444,Stage,https://blackwells.co.uk//jacket/200x200/9781844885978.jpg,Madhouse,P. J. Gallagher,21.05
445,Stage,https://blackwells.co.uk//jacket/200x200/9780762480623.jpg,Eddie Muller's Noir Bar,Eddie Muller,22.35
446,Stage,https://blackwells.co.uk//jacket/200x200/9781529381542.jpg,Fight!,Harry Hill,14.04
447,Stage,https://blackwells.co.uk//jacket/200x200/9781803363103.jpg,Buffy the Vampire Slayer Tarot ...,Casey Gilly,23.21
448,Stage,https://blackwells.co.uk//jacket/200x200/9781452101422.jpg,The Art of Brave,Jenny Lerew,29.03
449,Stage,https://blackwells.co.uk//jacket/200x200/9780762481248.jpg,Gilmore Girls: Trivia Deck and ...,Michelle Morgan,18.78
450,Stage,https://blackwells.co.uk//jacket/200x200/9780755364220.jpg,Poirot and Me,"David Suchet, Geoffr...",15.68
451,Stage,https://blackwells.co.uk//jacket/200x200/9780861546848.jpg,Eve Bites Back,Anna R. Beer,14.68
452,Stationery and Gift,https://blackwells.co.uk//jacket/200x200/9780830834235.jpg,Know What You Believe,Paul E. Little,16.77
453,Stationery and Gift,https://blackwells.co.uk//jacket/200x200/9780830834228.jpg,Know Why You Believe,"Marie Little, Paul E...",16.77
454,Stationery and Gift,https://blackwells.co.uk//jacket/200x200/9781914317880.jpg,Cats Who Changed the World,Dan Jones,18.02
455,Stationery and Gift,https://blackwells.co.uk//jacket/200x200/9780764209765.jpg,What Every Christian Needs to K...,James R. White,16.08
456,Stationery and Gift,https://blackwells.co.uk//jacket/200x200/9781914198663.jpg,Lord Jim at Home,Dinah Brooke,13.62
457,Stationery and Gift,https://blackwells.co.uk//jacket/200x200/9781975314378.jpg,That Time I Got Reincarnated as...,"Fuse (author), Mitz ...",17.53
458,Stationery and Gift,https://blackwells.co.uk//jacket/200x200/9781783967025.jpg,Why Is This a Question?,Paul Anthony Jones,13.55
459,Stationery and Gift,https://blackwells.co.uk//jacket/200x200/9781781066768.jpg,Viz Annual 2019 The Pieman's Wig,Viz Magazine (editor),18.29
460,Stationery and Gift,https://blackwells.co.uk//jacket/200x200/9781841591445.jpg,Full Moon,P. G. Wodehouse,16.97
461,Stationery and Gift,https://blackwells.co.uk//jacket/200x200/9781433564987.jpg,ESV Illuminated Scripture Journ...,Crossway (COR)/ Tana...,10.26
462,Stationery and Gift,https://blackwells.co.uk//jacket/200x200/9780702310423.jpg,The Subtle Knife,Philip Pullman (auth...,31.94
463,Stationery and Gift,https://blackwells.co.uk//jacket/200x200/9780241992531.jpg,"OK, Let's Do Your Stupid Idea",Patrick Freyne,13.32
464,Stationery and Gift,https://blackwells.co.uk//jacket/200x200/9781788709194.jpg,A Housefly Buzzes in the Key of F,Simon Nicholls,18.1
465,Stationery and Gift,https://blackwells.co.uk//jacket/200x200/9781788403580.jpg,Coronation Street Puzzle Book,"ITV Ventures Ltd, Ab...",17.01
466,Stationery and Gift,https://blackwells.co.uk//jacket/200x200/9781440562150.jpg,Dragons,Douglas Niles,15.32
467,Stationery and Gift,https://blackwells.co.uk//jacket/200x200/9780762462346.jpg,Teeny-Tiny Tinsel Tree,Mollie Thomas,14.99
468,Stationery and Gift,https://blackwells.co.uk//jacket/200x200/9780843180718.jpg,"Eat, Drink, and Be Mad Libs",Douglas Yacka,9.94
469,Stationery and Gift,https://blackwells.co.uk//jacket/200x200/9781787636897.jpg,Nowhere to Run,Jonathan Sayer,20.65
470,Stationery and Gift,https://blackwells.co.uk//jacket/200x200/9780702310430.jpg,The Amber Spyglass,Philip Pullman (auth...,33.45
471,Stationery and Gift,https://blackwells.co.uk//jacket/200x200/9780738711928.jpg,The Thoth Companion,Michael Osiris Snuffin,22.9
472,Stationery and Gift,https://blackwells.co.uk//jacket/200x200/9781785943775.jpg,TARDIS Type Forty Instruction M...,Richard Atkinson (au...,21.4
473,Technology,https://blackwells.co.uk//jacket/200x200/9780199584970.jpg,Nuclear Power,J. M. Irvine,13.45
474,Technology,https://blackwells.co.uk//jacket/200x200/9781607743880.jpg,The New World Champion Paper Ai...,John M. Collins,20.44
475,Technology,https://blackwells.co.uk//jacket/200x200/9780367866846.jpg,Domestic Central Heating Wiring...,Raymond Ward,54.76
476,Technology,https://blackwells.co.uk//jacket/200x200/9780357366479.jpg,Electrical Wiring Residential,"J. Philip Simmons, R...",95.45
477,Technology,https://blackwells.co.uk//jacket/200x200/9781785943775.jpg,TARDIS Type Forty Instruction M...,Richard Atkinson (au...,21.4
478,Technology,https://blackwells.co.uk//jacket/200x200/9781785213618.jpg,VW Passat Diesel,John S. Mead,28.48
479,Technology,https://blackwells.co.uk//jacket/200x200/9780357137697.jpg,Electrical Wiring Commercial,"Ray C. Mullin, J. Ph...",87.09
480,Technology,https://blackwells.co.uk//jacket/200x200/9781418011697.jpg,Advanced Bread and Pastry,Michel Suas,78.27
481,Technology,https://blackwells.co.uk//jacket/200x200/9781641602228.jpg,Pirate Women,Laura Sook Duncombe,20.26
482,Technology,https://blackwells.co.uk//jacket/200x200/9780141986067.jpg,The Future of Humanity,Michio Kaku,15.15
483,Technology,https://blackwells.co.uk//jacket/200x200/9781857423198.jpg,The Reflective Practitioner: Ho...,"Schön, Donald A.",38.72
484,Technology,https://blackwells.co.uk//jacket/200x200/9781803990996.jpg,Classic Heathrow Propliners,Tom Singfield,27.67
485,Technology,https://blackwells.co.uk//jacket/200x200/9780205309023.jpg,The Elements of Style,"William Strunk, E. B...",13.32
486,Technology,https://blackwells.co.uk//jacket/200x200/9780241992142.jpg,Size,Vaclav Smil,15.15
487,Technology,https://blackwells.co.uk//jacket/200x200/9781785008689.jpg,Waterloo Station,Robert Lordan,22.8
488,Technology,https://blackwells.co.uk//jacket/200x200/9781407195100.jpg,Somebody Swallowed Stanley,Sarah Roberts (autho...,12.77
489,Technology,https://blackwells.co.uk//jacket/200x200/9783031444074.jpg,The Binocular Handbook,Holger Merlitz,47.48
490,Technology,https://blackwells.co.uk//jacket/200x200/9781782217237.jpg,Pocket Pompoms,Sachiyo Ishii,13.7
491,Technology,https://blackwells.co.uk//jacket/200x200/9781399705202.jpg,All on the Board,"Board, All on the",17.35
