name,platforms,original_price,discounted_price,discount,product_type,rank_in_sale,sale_name,date_recorded
HOT WHEELS UNLEASHED™ - Ultimate Stunt Edition,['PS4'],£69.99,£20.99,-70%,PREMIUM_EDITION,135,WM_EU_DEALS,2022-07-22 00:00:00+00:00
HOT WHEELS UNLEASHED™ - Ultimate Stunt Edition,['PS5'],£69.99,£20.99,-70%,PREMIUM_EDITION,136,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Mortal Kombat 11 Ultimate Add-On Bundle,"['PS4', 'PS5']",£39.99,£13.99,-65%,ADD_ON_PACK,137,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Mortal Kombat 11 Ultimate Add-On Bundle,"['PS4', 'PS5']",£39.99,£13.99,-65%,ADD_ON_PACK,138,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Sherlock Holmes Chapter One,"['PS4', 'PS5']",£36.99,£20.34,-45%,FULL_GAME,139,WM_EU_DEALS,2022-07-22 00:00:00+00:00
ARK: Genesis Season Pass,['PS4'],£24.99,£16.24,-35%,ADD_ON_PACK,140,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Sonic Colours: Ultimate,['PS4'],£34.99,£20.99,-40%,FULL_GAME,141,WM_EU_DEALS,2022-07-22 00:00:00+00:00
RIDE 4 - Special Edition,['PS4'],£74.99,£18.74,-75%,PREMIUM_EDITION,142,WM_EU_DEALS,2022-07-22 00:00:00+00:00
RIDE 4 - Special Edition,['PS5'],£74.99,£18.74,-75%,PREMIUM_EDITION,143,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Ancestors: The Humankind Odyssey,['PS4'],£32.99,£13.19,-60%,FULL_GAME,144,WM_EU_DEALS,2022-07-22 00:00:00+00:00
LEGO® Marvel’s Avengers Deluxe Edition,['PS4'],£52.99,£9.00,-83%,FULL_GAME,145,WM_EU_DEALS,2022-07-22 00:00:00+00:00
NARUTO TO BORUTO: SHINOBI STRIKER Season Pass 2,['PS4'],£24.99,£12.49,-50%,ADD_ON_PACK,146,WM_EU_DEALS,2022-07-22 00:00:00+00:00
